,tweet,label
317,"Sir, Abhi desh ke sabhi state ka tour laga ne to nikle. Jaise 2014 ke election me aap nikle the. Aab dekhye kitna parivartan/ change hua hai ke nahi.",negative
1048,love uuuu shalluuuu,posiitve
882,Aaja bhan k loda apna baap sa baat kr tare maa ka maru bhoxda sala cutta,negative
1846,Agar aap mere comments ka reply krenge to me isi se samjh jauga ke mere comments ke reply me Aapne pure Pakistan ko apna pyar salam or dua dedi,neutral
2531,Pls pls pls reply ones...,neutral
1404,Tnx bhai jan leliya,neutral
93,Namsthe sir jai gurudhev,neutral
1105,Eid mubark ho bhai jaan advance mai it's emerjancy plz,neutral
142,ek aayas admi tha nehru,neutral
1681,Bajrangbali ka saath Bajrangi ke pas ?rkho viswas ?puri hogi aap ki har aas???????!,neutral
2300,bhai ap Hollywood movie kab kar rahe ho???,neutral
499,meri koi ijjat thodi hai,negative
1367,"Bhai bhai somabhai bohemia,",neutral
3161,Sir ji kaha rah gye ab aa bhi jao jldi,neutral
630,Bhai jaan tho bhai jaan he rahage koi aur unke copy nahi ker sakhta yaro yes or no,posiitve
2160,Ind k 4 bje ya pk k 4 bje ;),neutral
603,aap mere liye rkhe na naam2,neutral
1284,Bhagvan ka kam karna sub se mukya darm hai.,neutral
855,Sory main nhe aasg t main pakistan main ho???,neutral
1080,Bhai jaan k se hai ap ghar wale k se hai ya film bajrangi bhaijaan qameebi ho gayi mujhe ko i d me add krna ha apko Ramzan ap sub ko Mubarak ho. Saad Khan pakistan Karachi .,posiitve
3264,Yess... bhaaijaan... hum aapke sath hai hamesha.. kuch b ho... love u sir g..,posiitve
2891,tum achi acting krta h,posiitve
794,Salmaan khan bollywood rss or bjp ka naya kutta,negative
1638,bhai aap toh hit ho,posiitve
2026,salamin alaykum salman khan jumma bubarakho how are you,neutral
725,salman khan bet hiro mai yuske sath pkchr me ka krna chta hu,neutral
1860,Plzzz ya zaror bata do bs yahi k ap ko jo ma snd karti hun apko milta ha ya nhe plzzz ya bata do,neutral
1001,Don't wary always be happy insaallhatala aap ke film sb se jada box office me kamane wale film hoge,posiitve
3216,Sale kyu pagal ho rahe ho chootiyao salman nikal liya,negative
1842,Bhai jaan salam lekum aapke pass time hai,neutral
1680,Bollywood big super star bajrangi bhaijaan salman khan,posiitve
2871,Reply krdo bhaaaaaaaaaaaaaaaai,posiitve
1410,lovly &nice song ..salman.,posiitve
2933,Bhaijaan baat se palat gaye...... yeh aapki fitrat mai nai ho sakta.... aapka P.A naam kharaab kar rha hai aapka,posiitve
1449,Bhai ye kesi kesi afwahe ud rhi he apke bare mai ..sach he ya jhoot,neutral
1245,Jai shri ram .......coming sooooon bjrngi bhai jan,neutral
1753,ok.bhai mere pass bahot sare questions hai...,neutral
2655,bhai my phone discharged ho raha hai 26% bettry bachi hai,neutral
1682,Hum bajrangbali ke bhakt h mr jayenge magar jhoot nahi bolengei miss you broi like you bro,posiitve
2379,4 indian standard timing means 4:15 ? Pranam bhai ? ..,neutral
480,plz cal sallu bhai +8801719447771 bangladesh fan plz cal met u sallu bhai,neutral
2165,Abe ye koyi salman ki real prf thodi hai,neutral
2515,abhi tak nahi aye salman bhai online?,neutral
1115,Wah bhai wah,posiitve
1979,ok ap chahe 5pm pe aana par online hona,neutral
1099,khuni saale chal jail ja,negative
2081,Aap apni selfie le k prfl pic pe set karo kyuki salman khan name k kafi I'd h,neutral
3630,kuch nahi bas report send kar raha tha,neutral
2553,as salam alaikom :) aur intezar nai hota plz cm fast,neutral
3049,Insha Allah blockbuster hoge bhai abki bar 300 cross Paar bajrangi bhaijaan,posiitve
0,Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikhe ga ye to sirf Turkmenistan. hi hai.. Great MODi ji,posiitve
2410,Bhai kuch to bta,neutral
289,"Sir,kuch apne desh me bhi ghoom liya jaye, kahin bijli to kahin pani,aur kahin road hi nahi haiAchhe din jab aayenge aate rahenge,aap to aao",negative
3138,Sana aa gaya tumara nakli salman khan hahaha....,negative
2726,aa jao.... rplyyy meee plzzzzzz,neutral
2928,hlo sir kuch to kho,posiitve
2246,Aap kahan hai hum aa gaya,neutral
932,aliya zain ko kisi ne dekha h kya ??,neutral
879,Tum.sala.hindu.,negative
3061,bhai ko zrur koi kam hoga,neutral
3471,Salman bhai i love you nikhil raj hemanshu raj nikhil par frend request kijiye ga salman bhai pls pls pls,neutral
1931,Sallu bhaijaan ko salam,neutral
1175,we love u very much bhaijann( bollywood ke sann india ke jaan sub ke bhaijaan SALMAN KHAN ) !!!!!!!!!!!!!!,posiitve
2650,Ap tak pakistan si snd ki hov cheez pohnch jata ha ya nhe,neutral
2114,bhai kha hai aap,neutral
3484,assalamualaikum ..... salman bhai me ye puchna chahti hu k jo baate sunne ko milri hei muje is film se related. kya aapne sach me esi koi baat boli hei ya ye sab rumors hei ....... plz tel bhai jaan,neutral
612,Kiya bhai jaan,neutral
1963,3min bs bhaiii,neutral
3360,kya tum ko pata hai ke tumhara kya religion hai neither muslim nor hindu,neutral
892,salman is me dono hi maire favourite hai hanuman ji or salman ap ye movie hit nhi super hit hogi,posiitve
2247,Hmmmm.....tum hare liya agyei hu...Salman :*:*,neutral
3266,Bhai film hit hoga haters ko mo thod javab denge,posiitve
3261,we know bhaijaaan kwo sab fake tha,negative
2266,kaha gaye sir,neutral
2605,Bhaijaan aap kaa ek reply mere liye bohot important hai kyuki mai aapka bhakt hu,neutral
2393,Salmannnnn aaa intezaar idhar ? tere liye ?,neutral
3256,Shadi karoge mujhse salman g,posiitve
1774,Luv u bhai jaan,posiitve
2342,Kitthe reh gaye sallu ji 04:07 ho gye,neutral
3582,Super super super salman bhai,posiitve
1729,bhai....... 4 nhi baje ra.......3:30 ma he kr lo na.....,neutral
2232,Khade khade pak gaya bhai ketna w8 karawoge ?,neutral
2643,Plz mera dream true kardona bhaii,neutral
3294,Lagta hai darr gaya#UTurn,negative
2770,Jhut bol diye. Itne jhutte ho to tumhare fan tum par trust kya karenge yrr. Ye Sonakshi sinha nahi hai jo such bolenge,negative
2029,Bas ek mnt hai,neutral
179,"Modi sir yeh kaunsi jagah chale gaye ho, mere se toh naam bhi sahi se nai liya ja raha...lol :-D",neutral
2519,rolo ab to 4.15 kya yr aana nhi he kya aap ko,neutral
2855,Salman sir or kya aap baat nhi karege yaa time nhi hai aapke pass,negative
1958,hiii ab to 4 baj gye,neutral
14,Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...,posiitve
3174,Ye faltu logo ka to yehi kam h kisi ko acha nhi dekh sakte,negative
476,thanx salman bhai..love u forever,posiitve
1490,sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai,neutral
3753,awsm trailer with dhasuuuu fights,posiitve
2003,suru kar do yaar,neutral
873,kiski party bewakoof badtameez,negative
1499,kamina hai ye,negative
3083,Hum thhak gaye bhai apka intazar kar k kar k hamari ungaliya b duk rahi hai typing karke,neutral
2662,Salman bhai apne apne page pe apna trailer ni dla youtube wala,negative
2313,Bhai jldi aa jae,neutral
1764,Salman bhai still waiting 3:30 baj gaye hai,neutral
3554,Bollwood ki aaan baan saan dekho aagaya #Salman_khan movie me karenge Dhamaal kyo ki ye hai #Bajrangi_Bhaijaan,posiitve
1770,sir aap Lucknow kab aarahe ho,neutral
1183,m musalman ladki se shadi krna chata hu mare age 25 hai 9818463635 plz col me shadi pka karuga ok plz col me,neutral
1037,Aur jo chup chup ke bole chala jay vo hi asli hijde ki aulad hota hai ashu kutt,negative
2055,Vai mai dur se baaat kar raha hu :'(,neutral
1240,bajrangi bhaijan eid mubarak in advanc or apki movie 450cr ke par jaye kyuki....you are grate and smart hero of bollywood ke,posiitve
1565,Waiting bhai.. Aur kitna intezar karoyege,neutral
2068,bhai ap boht ache hn Allah ap khush rkhe,posiitve
3480,luv u bhai waiting____,neutral
2348,salmaan# bhai# aap# hamare# chahete# kalakar# ho# aapko# dil# se pasand# karte hai but ham sab ki dil se tamnna hoti h aap se mil sake or apka didar kar sake,neutral
3359,dusroo ki ni khud ki suno.....koi na hatthii chalti h to kutte bahukktee h......,negative
690,swgat nahi karo ge hamara,posiitve
1242,Salman bhai mafi Maglo abi time hi..Muslim bina hit karuga Bajrangi Bhaijan ko...kesi karo gi bhai...apka frns group he hi Muslim,negative
2319,abe salman khan yaha logo ko bewakuf bana raha he aur log ban b rahe he per me nahi banoonga samjha be bajrangi,neutral
2253,kya hua bhaijan..?????????.,neutral
2828,baat online kr rhe the bhai...abhi 5 bje khtm hua h,posiitve
57,Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.,posiitve
1506,Koi batao salman se kaha bat hogi please,neutral
1442,Ye bv film bohot hit hoga jaan,posiitve
3133,kayeh tiger khan bolu..?,neutral
2378,Aaja sham hone aayi .mousam ne li angdai.,neutral
150,Kabhi SUBHAS CH Bose & Bhagat Singh ki bhi baat kiya karo sirji....Jisne desh k tukde kar diye us aadmi (Gandhi) ki murti anvaran karte phir raheho @ narendra modiji,negative
633,aaj ki party meri taraf se nice song bhaijaan,posiitve
2297,Aise mat karo yaar...plzzz,neutral
294,Kailash vijaywargiya ko nikaal bahar karenge aap ya apni saari mehnat or haamare bharoshe pe paani phirwaiyega,negative
3767,Bhai jaan ek number yar mana to caller tunes set bhi kar li nice one bro,neutral
2480,Watching bajrangi bhaijaan,neutral
1796,Aik Confusion dur krna bt kr k agr hu sake tw..,neutral
27,bharat ko vishwa guru banne se koi nahi rok sakta......vande matram,posiitve
958,Salman bhai mujhe bhi aana hai,neutral
3848,hi khadus kya ho rha hai kha ho,neutral
1429,Wah. kya kehne!,posiitve
359,kya hua apka wada woh kasam woh irada,negative
3390,i know mai janta tha ke sallu is tarha ke bekar bat kbhi nhi bol sakta,neutral
2374,Fav..food kya hai,neutral
3575,supprrrrrrrrrrrrrrr salllu bhai,posiitve
3122,Ab tu jada he bolne lagi hai..soch kar bat kar warna...,negative
762,Chutiya no 1......jo apne dharam ki nahi ho saka o kisi bhi dharam ka nahi......kehte hai na log k..jo khud ko pyar nahi karta o kisiko bhi pyar nahi karta,negative
1560,Kuch kahiye salman sir,neutral
625,i love u toooo sooooo mache salman khan,posiitve
344,"Modiji govt wonderful programs; jaadu apka safai aapka-swach Bharat,paisa apka account apka-jhan dhan,body apka mat apka-yoga day,beti apka responsibility apka-beti bachao beti padau,mobile apka beti apka aur selfie be apka-save girl child program.. Amazing fekuji..",posiitve
2161,Ur fav footballer ?,neutral
1945,ILove u salman sir plz hum se chat karo,neutral
2839,Jodhpur aaoge jab milo ga...mai ab..kaha jaoge mujse bach ke..saadi gali tu ana hi padega,posiitve
2658,tm aao na aao hum intzar krenge tum chaho na chaho hum had se v jyda salman ji tmse pyar krenge,posiitve
3259,welcome bajarangi bijaan,neutral
1281,Yar ji karrha h,neutral
3329,Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu,negative
3744,Dekh rahe ho ya nehi?,neutral
426,"Doosro ka maar ke bana thaa, doosro ka maarne ke chakkar me phasa....",negative
658,Salman bhai masha allah aap ek achchhe act ho ek achchhe insan ho kya aap ek achchhe muslman ho,posiitve
1980,Ekbar meri dream koh sach kardona bhaii,neutral
2150,"love u vaijaan, always aapki intezar main rahtahu,,aapki ek zalak or aapki movie ka intajer main rahtahu.........Allah aapko khush rakhe or salamaat rakhe esi dua kartahu.....Ameen",posiitve
552,Aap to yaar supr hiro ho,posiitve
490,Allah se dua hai ke teri film supper supper supper flap ho malon,negative
2514,Bhaijaan kahan ho..kat ki sath hai tum,neutral
141,Don't forget godse,neutral
2521,Arre salman bhai kanha ho app 4 bajke 15 min ho gaya,neutral
3053,Bhai plz thoda time humare liye bhi nikal lijiye hume bhi aapse baat karni h,neutral
2237,sirji nhi bat karenge ab,neutral
213,ppp model chirman in rajesthan is lalit modi,neutral
848,are salman sir agar mere coment ko padhma to plzzz ek bar reply karna,neutral
1608,Bhai comedy. Laavo na...aap comedy with kapil me jitna hase ho ..utna haste hue pehle nahi dekha,posiitve
366,Sir swach bharat mission ko gawon se shahro ki taraf lao Sir mission ki jinmedaari nagar nigam or parishd ko uttardaitav do Thanks,posiitve
2738,Hlo salman sir mai aur mere mammi papa apke bhut bde fan h,neutral
1307,Nice bhaiYOU ARE THE BEST BEST BEST BEST BEST BEST BEST BEST BEST,posiitve
1062,main ye pic dekhne ke liye taiyar hu salman bhai,neutral
1981,friend yahan internet bahat slow ..... hai./..... sorry,neutral
2995,Axxa laga aapse baat kar k,posiitve
3476,"K bole6e,..Tui ki janis anti religiÃ²us film kake bole,..",negative
3807,Hmmmmm vai set kar diye.... bohut achha lag raha hai....,neutral
2998,Agr replay nhi diya to me maggy khalunga,negative
792,salman fans addme <3,neutral
773,Salman vai pls apne dare rakey..vai app ko boss boss lage ga..,neutral
3771,gdrrrrr awaz salman bhai kiiii love u sallu,posiitve
659,"Salman always kind heartnt cmpairjo log muslman ,hindu kr rhe hun logo ki nichi soch pe mje gheenn aati h yr",posiitve
415,Ya allaha sab ko sahe rasta dikha,posiitve
2276,Sir bhajrangi bhaijan....sabse achii film hogi.....boollywodd mein. ...I wish,posiitve
76,Kuch nahi karoge tum india ke liye,negative
3060,sakunga appse bs yahi dua karta hu aapse jald mil saku,posiitve
1469,Salute to indian army... agar india se koi bachaa chale jatey den pakistani army return nai krta...,posiitve
3149,Idar hi hun bahi,neutral
2384,sir ji ye achi bat nhi he ki aap apne fan se majak kre,neutral
3388,sallo mai ap se janna chahti ho kya ap n ye bola h hindu bhai mere liy q bola ap ko muslim bhi to dil s chahte h,negative
843,Salman Bhai aap cinta mat karo apki movie ham hit kare ge,posiitve
2077,4 bhj gye lekin salman bhai kider hai,neutral
3548,Paglii hy kya tu Aliya Khan mene bola or tu sch man ri hye,negative
1550,Pta h log kitna pagal h apko milney ko,neutral
1056,"Akhir show me apko kitne din tak dekte rahungi,?",neutral
3843,Eid mobarak bahi jan,posiitve
1198,kiya koi bata sakta hai india Time 3:30 pm UK time kiya hota hai??,neutral
364,"Sir plz JHANSI ki bijli vyavstha thik Krane ki kripa kre, dhnyevad.",neutral
1139,Kyun bhai Aj kyun nahi Kal kare so Aaj KAR...,neutral
617,Salman khan criminal.,negative
3844,handsome sallu <3,posiitve
2223,"hello Sallu bhai , kaise ho aaapp bhai ? mei aapka badaa fan huu bhai :)",neutral
2468,Salman bhai plz ek baar muje call karo 7048830072 plz plz bhai fir muje mout bhi aa jaye gi to chalega bhai,neutral
2323,Chutiya banadiya sab ko,negative
3224,Mera yeh matlab nahi thaa naam to acha hai Salmanji yaar shaadi karlo abb tooo...:D,neutral
3394,I knw sallu i dnt belive fake news u dnt wry ...,negative
2345,AaP nahi aaoge,neutral
1746,Bajrangi bhaijaan mein koi aisa scene jo yadgaar ho????,neutral
991,Apki movie me sbko bolna hai jai siya ram tab eed manegi acchi...,neutral
3608,Kash kabhi aap humay samjh patay dosti karna ashan hai nibhana mushkil I love you salman khan,posiitve
2803,bhai jaan me aap bhut badha fen ho sir me soch ta ho ki kabhi aap se miluga ya nahi  sir jingi ki ek hi khuais thi ki ek baar aap se milu,posiitve
1206,Bhaijan watsaap pe aapke bare ma jo chal raha ha wo jhoot ha na.plz reply must,neutral
1406,fir bye kyo,neutral
1839,"Bhai pata nhi apku ye msg mile ya na mile par Kuch dino se apka dimag kharab hogaya h lagta ap ab do nao me sawaar hone ki koshish karrahe h behter yahi hoga k shahrukh ,aamir k jese ek imaan pe raho Allah hafiz",neutral
174,Kya pm bihar me aana. chahte hai,neutral
1179,Kute begherat khabees benamos kafir k bache teri itni himat,negative
283,Welcome modi jee,neutral
212,Narendra damodar modi g acche din kab ayenge babu. Hai koi upaye.,negative
3184,Love you salman bhai ...missing. .you ..salman bhai,posiitve
2810,Kya bakvas hai yar,posiitve
3452,Ye sab fake baatein h bhai sbhi religion key bht respect karte h or wo kbi kisi ko hurt nhi karte don't miss bajrangi bhaijaan movie m to jaonga first day or first show,neutral
468,Salman bhai agar aap ne apni movie mein Babbu maan ka song le liya to kam se kam 20 laakh fan ek din mein jyada ho jayenge,posiitve
2020,vai may Bangladesh se hu. may chatahu app ek bar ki lia Bangladesh me jorrur aenge,neutral
639,sallu bhai <3,posiitve
2996,Really aap aaye kya.....i can't beleive....,neutral
1209,"Tre bap ne bnai hoti tb b flop nhi hoti ssale,",negative
34,we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai,posiitve
2357,lgta hai bhai ka watch slow hai ;-),neutral
10,:o :o :o,neutral
262,Modi ji aap dash kahenhe sbheka diloke P.M.ho,posiitve
3481,Shopkeeper khai ka,neutral
1553,chal beta selfi le le.......hi.bhaijaan,neutral
968,Nich musalman kis ko bola pehle apne aap ko dekh tu aaj jaha par hai un musamano ki vajah se hai. Samga.hamko dhamki deta hai kon dekhna chahega ye sadi movie,negative
1201,Heard k Sallu bhai ko musalmaano ki ab koi zarurath nahi rahi iz diz true???,neutral
190,Modi ji desh ke kanun me kuch Sridhar karyein,posiitve
380,Desh ka vikas har koi petrol or diseal ke rate bda kar hi kyu krna chahta hai,negative
3206,ye page fake nai hai bas es mein fake loug salman khan ban kar aa jate hai per ye page million corore sahi hai salman sir ki he id hai ye,neutral
2925,sir ek spna h zindgi m ek bar milna h aapse,posiitve
3535,Salman bhai hum to apne bach pan sey like kartey they abibi kartey hai lykin aapne ek baat kah ke hamey naraaz kardiya,neutral
223,"oh great,,..har din apko dekh ke nai urja milta hai.ap jio hajoro sal sir ji or india ko biswa bijai banao..",posiitve
3297,sahi baat h bhai.. qki sbka malik ek,posiitve
1853,Mery chanda jaldi kr.,neutral
817,ye sab kuch nahi hai exal aur coral me bhot sare formula and short cut hai wo yad rakhna padta hai,neutral
3062,????????kaise piche pad gaye re......,posiitve
1771,Ye kya bat hue sir abhi bat kro plz,neutral
1883,Bhai aapse baat karne ko kitna wait kiya hai pls....bhai pls talk to me I need ur help...pls main aapse ek baar baat karna chahti hun pls talk to me...bhai pps help me pls,neutral
1159,abe chutiye kabhi namaz bhi pad liya kar,negative
840,Ha bhai kab se tyaaar hai Patiy ke liye,neutral
750,Chutiya salman.....khan banna hai to pahle shahrukh ban,negative
2923,wo bahut busy hai kisi kaam me hoge is liye nahi aaye socha hoga tab tak kam pura ho jayega but nahi ho paya hoga kaam pura to nahi aa paye,posiitve
1333,Sher kabhi darta nahi aur mera bhai sher hai love you bhai jaan,posiitve
1170,Salman Khan sir koi kuch b bole hume koi. Frk nhi pdta. Ye sb ek chal he kisiki bt i lv u sr god bless u hm to dekhege movie or dikhayege b #BBthiseid becouse ye mere salman sir ki movie ka swal hai.,posiitve
705,Yeh ki yeh namard hai,negative
16,Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......,posiitve
566,Salman bhai sirf sohrat kamane se kuch hoga. thoda bahut khuda ko bhi yaad kiya karo.mahe ramjaan bada hi pak aur touba karne vala mahina.plz ibadat bhaijaan,negative
1197,Abe ja be zhandu balm Tere jaison keliye kon waqt nikalega,negative
496,dil kahta h,neutral
584,jiske pas ilm he wo sabse amir he,posiitve
1657,Me duwa karta hun ki bhai aap ka ye muvi San ka rekod tod de,posiitve
1108,Film release bhi hogiApki taraf se party bhi hogiOr aapki zholi bhi bhar jayegiTension nahi lene ka bhai Hum sab aap k sath haiWish you all the best,posiitve
3872,aap bahut cute lag rahe ho,posiitve
891,Salman bhai es songs ko movie me bhi dalo plz,neutral
122,Pradhanmantriji Me sapath leta hu ki jis din humare desh ke sare neta subsidy khana band kar dege us din me bhi apne hisse ki subsidy return kar duga.,neutral
3840,Apkeliya masig salman,neutral
3769,Superb sallu jaan,posiitve
788,jaan meko bol tuje koi pareshani mai apne bhagwan ko chahta hai jawab de,neutral
1416,Jo abi ayy han un ko bata dun aj online chat ho gi idar okay 3:30pm par,neutral
1969,SUNO SAB CHUP JO JAO BHAI AANE BALA HAI,neutral
2316,4 baj gye bhai,neutral
1742,inbox ma bat karo sallu,neutral
2768,aap ki mujhey ek hebbit bohot acchi lagti h dusro ki madat karna .........like you,posiitve
2355,hm baarish ho rahi hain to netwark problem to hogi hi,neutral
3444,Are yar to to me ghar aawunga bhai biryani khane aa sakta hu na bhai,neutral
3502,luv u soooooooo much salman....aap ke fans hmesha aap ke saath he...,posiitve
1814,Saloo bhai plz pak ajao m india nhi aa sakhta :D,neutral
3230,Salman g kabi roza rakha hi?,neutral
861,Main to nahi ye movie dekhuga Salman ki har ek movie dekhi but ye nahi dekhuga,negative
1330,my favirat hero salman khan,posiitve
3586,salu g plz ek bar bt kr len mjhse EID se pehle hi meri EID h0jaegi plzzz,posiitve
550,Salmaan sir bole or kaam na ho..sawal hi nhi ho skta...god sir Aap to sir..my god,posiitve
3518,dosto yai flim tho fulle hit pef hit hoge,posiitve
956,Kafir ki aulad mai teri movi nhi dekhunga....,negative
1987,Bhai plz plz jaldi aao,neutral
2681,"4,30p.m ho gea ab to fb pe aooooo.",neutral
1375,O Ho bhai kal kaise niklega,neutral
1221,koi dekhe na dekhe hum toh apki iss film ko toh zarur jayenge,posiitve
2422,Bhaijaan kamaal karte ho,neutral
3541,Ye movie hit hone se ruk he nhi skta h movie hit hoga hit hoga hit hoga----------------------,posiitve
54,Sab ka malik ek.,neutral
1327,Aap film me bajarangi hai ki Bhai jaan,neutral
3585,Bhai jaan ko salaam,posiitve
758,galti tum kar rahe ho aur saja mujhe mil rha hai,negative
99,Humari sabhayata humari pehchaan...,neutral
117,Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay,negative
295,india ka mal jitna paroge ghum lo 5 sal ke bad aap nehin aaoge,negative
2980,ab iftari bad hi karna agar chat karna hai to...,posiitve
2467,Mujhe aap se ye umid nahi thi bhai,neutral
331,mananiy pradhan mantriji apko salam our ramajan eid mubarak,posiitve
2106,sare logo se ke hogi bat,neutral
1285,Salman mai aapko bhai jaan manta hun lekin mai cahta hun yah film na het ho kaunki yah musalmano ka sawal hai,neutral
883,Ma teyar houn jnb,neutral
1597,Bhai bohot time hogaya hai abb toh shuru karo!!!!!,neutral
3425,Salman je plz kbhi to rply kiya kro tbhi pta chal e ga ki aap bhi apne fens se pyar krte ho,neutral
2376,Bnai aap keh rhe ho ki me muslmano ke bina bajragi bhaijaan hit kroga yhe sach h..,neutral
870,Kis khushi me tyar hojae bhai shadi ki party dere ho,neutral
3117,Dishta Jeetoo salman nahi reply karte hein hamare dil ko broken karte hein,negative
571,salman sir aap london kab aao gaye plz aik baar ajoa i want to meet u once in life u are cororo mein aik sir,posiitve
523,teri movie flop ho jaye....,negative
1861,Kaise muge bhi apse baat krni h ...,neutral
759,SALMAN khan KI maaki chit uski maaki chutme modi KA lawda saala harami KI janwaad naaliya kholia KI paidaas uski bahen KI naak me ganpati KA land WO chinaal Randi maadarchod hai,negative
1621,eid pe araha hon filim dekhne bjrngi bhi jan,neutral
3435,are yah madhar chud kiya dega iski to me ma chud dunga agar yah mil jaye yah madhar chud islam ka dusman ha is sale ko bech rod per lakar goli mar du ise mar duge to zanat miljayegi kiyu ki yah madhar chid islam ka dusman ha,negative
497,muje pta he aap reply nhi kroge phir bhi apki film achi rhe and mey docter bnna chatha hu dua kro,neutral
2845,Apke liye possible nai hai sbko persanaly reply krna to apne ek bar me sbko thanx bol diya..acha hai..,posiitve
2560,Hlw Bhaijan.Bajrangi Bhaijan ko le kar apka kya opeksha hai?Is film me aap hanuman jika vokt ho ap kay real zindegi me hanuman jiko mante ho?,neutral
2545,Jaise#bajrangi k seena hmko #HANUMAN milanga.hum sbka dil ma sirf#SALMAN milanga.,neutral
1461,Isi bahane promote bhi kar lo,neutral
